"","ibgeID","cidade","estado","pop"
"2","1100015","Alta Floresta D'Oeste","RO",22945
"3","1100023","Ariquemes","RO",107863
"4","1100031","Cabixi","RO",5312
"5","1100049","Cacoal","RO",85359
"6","1100056","Cerejeiras","RO",16323
"7","1100064","Colorado do Oeste","RO",15882
"8","1100072","Corumbiara","RO",7391
"9","1100080","Costa Marques","RO",18331
"10","1100098","Espigão D'Oeste","RO",32374
"11","1100106","Guajará-Mirim","RO",46174
"12","1100114","Jaru","RO",51775
"13","1100122","Ji-Paraná","RO",128969
"14","1100130","Machadinho D'Oeste","RO",39991
"15","1100148","Nova Brasilândia D'Oeste","RO",20474
"16","1100155","Ouro Preto do Oeste","RO",36035
"17","1100189","Pimenta Bueno","RO",36660
"18","1100205","Porto Velho","RO",529544
"19","1100254","Presidente Médici","RO",18986
"20","1100262","Rio Crespo","RO",3764
"21","1100288","Rolim de Moura","RO",55058
"22","1100296","Santa Luzia D'Oeste","RO",6495
"23","1100304","Vilhena","RO",99854
"24","1100320","São Miguel do Guaporé","RO",23005
"25","1100338","Nova Mamoré","RO",30583
"26","1100346","Alvorada D'Oeste","RO",14411
"27","1100379","Alto Alegre dos Parecis","RO",13241
"28","1100403","Alto Paraíso","RO",21428
"29","1100452","Buritis","RO",39654
"30","1100502","Novo Horizonte do Oeste","RO",8538
"31","1100601","Cacaulândia","RO",6230
"32","1100700","Campo Novo de Rondônia","RO",14139
"33","1100809","Candeias do Jamari","RO",26693
"34","1100908","Castanheiras","RO",3052
"35","1100924","Chupinguaia","RO",11182
"36","1100940","Cujubim","RO",25215
"37","1101005","Governador Jorge Teixeira","RO",7767
"38","1101104","Itapuã do Oeste","RO",10458
"39","1101203","Ministro Andreazza","RO",9660
"40","1101302","Mirante da Serra","RO",10947
"41","1101401","Monte Negro","RO",15852
"42","1101435","Nova União","RO",6970
"43","1101450","Parecis","RO",6074
"44","1101468","Pimenteiras do Oeste","RO",2169
"45","1101476","Primavera de Rondônia","RO",2856
"46","1101484","São Felipe D'Oeste","RO",5172
"47","1101492","São Francisco do Guaporé","RO",20266
"48","1101500","Seringueiras","RO",11856
"49","1101559","Teixeirópolis","RO",4308
"50","1101609","Theobroma","RO",10444
"51","1101708","Urupá","RO",11467
"52","1101757","Vale do Anari","RO",11204
"53","1101807","Vale do Paraíso","RO",6825
"54","1200013","Acrelândia","AC",15256
"55","1200054","Assis Brasil","AC",7417
"56","1200104","Brasiléia","AC",26278
"57","1200138","Bujari","AC",10266
"58","1200179","Capixaba","AC",11733
"59","1200203","Cruzeiro do Sul","AC",88376
"60","1200252","Epitaciolândia","AC",18411
"61","1200302","Feijó","AC",34780
"62","1200328","Jordão","AC",8317
"63","1200336","Mâncio Lima","AC",18977
"64","1200344","Manoel Urbano","AC",9459
"65","1200351","Marechal Thaumaturgo","AC",18867
"66","1200385","Plácido de Castro","AC",19761
"67","1200393","Porto Walter","AC",11982
"68","1200401","Rio Branco","AC",407319
"69","1200427","Rodrigues Alves","AC",18930
"70","1200435","Santa Rosa do Purus","AC",6540
"71","1200450","Senador Guiomard","AC",23024
"72","1200500","Sena Madureira","AC",45848
"73","1200609","Tarauacá","AC",42567
"74","1200708","Xapuri","AC",19323
"75","1200807","Porto Acre","AC",18504
"76","1300029","Alvarães","AM",16041
"77","1300060","Amaturá","AM",11536
"78","1300086","Anamã","AM",13614
"79","1300102","Anori","AM",21010
"80","1300144","Apuí","AM",21973
